Dst Port,Protocol,Fwd Pkt Len Std,Bwd Pkt Len Min,Flow Byts/s,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Var,FIN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Std,Active Max,Active Min,Idle Max,Idle Min
4977,193,1463,534,399626,76696,66797,70548,16542,65779,22620,0,0,47648,7988,357,2191,0,0,0,0,0,49,1100,954058,45158,702,181,847,7747,14639,5693,33046,99023
30081,149,1177,1168,299962,86066,61020,603320,51398,62950,43628,0,0,86411,79254,962,1171,0,0,0,0,0,3,117,716109,52011,27521,87,1123,96414,48847,72408,2817,58620
30246,81,1042,213,382634,41724,95429,483930,76834,74056,51030,0,0,42409,13132,1451,4568,0,0,0,0,0,46,31,857854,23928,61121,491,1482,46300,33748,49931,34316,2576
1305,174,835,464,447182,4924,98513,527910,57401,18644,14912,0,0,39320,46405,240,3894,0,0,0,0,0,33,1143,146220,32629,31945,32,876,44753,93370,27591,17055,49302
58410,77,712,633,817242,12746,68626,562091,24078,60837,27062,0,0,73047,47859,299,3569,0,0,0,0,0,13,78,733577,23291,24695,492,206,43422,81886,62082,80875,54566
48915,121,109,774,611399,66436,2653,494460,19653,71171,78109,0,0,46087,36996,598,1495,0,0,0,0,0,18,10,678413,20241,44958,735,1126,58280,27003,86080,64086,62034
21764,209,760,818,16914,71897,88958,107720,98278,77670,90170,0,0,43297,7844,1368,4056,0,0,0,0,0,25,1337,611795,60422,39421,530,680,42282,6160,86691,79672,37804
43491,95,779,47,874639,77502,83225,871851,25110,91861,23871,0,0,62687,77322,786,1070,0,0,0,0,0,19,492,139353,53787,54785,25,1144,70941,56445,85575,67062,89507
10540,241,270,258,242167,33279,48323,363030,20564,81641,35458,0,0,77011,41260,1264,1175,0,0,0,0,0,29,336,540112,41250,9244,113,788,32243,69063,49215,20388,75711
55882,245,156,770,832907,43259,3549,169454,84892,40190,68601,0,0,53770,33238,814,3611,0,0,0,0,0,49,89,487229,64977,58534,566,304,53870,89310,37765,79085,97946
17479,104,855,802,354853,98154,59751,390888,90182,53071,71674,0,0,86288,18656,154,3417,0,0,0,0,0,16,398,103208,59834,55768,857,1376,68357,64162,83073,7956,53724
64608,206,1019,972,382755,47769,90861,489665,91686,41381,405,0,0,2100,40969,568,4202,0,0,0,0,0,47,47,720085,22262,4519,617,897,45710,32293,65538,36521,17512
26502,37,820,52,173750,18504,18553,949952,9,54191,43615,0,0,54488,19500,1494,713,0,0,0,0,0,44,1033,285458,32927,65372,623,1421,68736,971,5227,66649,11456
10077,219,1307,1449,428276,68317,53136,578885,29243,2496,29551,0,0,49909,23399,827,4828,0,0,0,0,0,7,978,155249,63398,49862,854,1464,52456,52145,3050,18694,80078
33876,162,885,716,166043,16395,8399,909267,8534,41181,3393,0,0,81344,88132,1113,2958,0,0,0,0,0,12,183,564339,37883,57275,464,923,58593,30597,97029,47428,68500
30875,247,997,52,983018,87447,53261,304608,7765,58955,99517,0,0,28781,87130,320,2889,0,0,0,0,0,31,71,107051,63229,27376,284,917,1899,4044,71690,13914,69520
59129,90,402,757,184045,63914,38515,34475,6497,60355,44762,0,0,50111,92746,638,854,0,0,0,0,0,4,164,400707,62601,7405,162,599,21809,92117,25612,80177,1154
14157,72,138,936,951319,29965,78818,116720,2066,33706,62346,0,0,61725,53716,88,4252,0,0,0,0,0,27,176,894182,64972,50584,232,1271,62152,62935,78416,49060,13623
12052,160,714,1051,689889,37876,88902,358461,24346,41575,44669,0,0,98239,8526,996,1985,0,0,0,0,0,13,543,896075,16125,59786,716,445,66424,68347,72762,26426,58865
58943,62,380,1230,422607,19649,26998,20702,87215,94173,62224,0,0,2102,36245,185,4511,0,0,0,0,0,23,1462,183827,24487,15319,549,888,58680,98166,42310,39897,67644
56005,155,688,588,301195,65543,56710,8291,9943,89822,47336,0,0,3888,95710,319,3208,0,0,0,0,0,30,1039,743241,56351,55242,870,265,24775,42640,33187,40181,363
16545,152,1357,574,416269,3288,82499,423168,40377,44256,67057,0,0,97722,54002,525,1614,0,0,0,0,0,24,252,705094,41814,25147,914,1051,70460,74492,48772,42574,38857
59033,93,64,1326,606007,3420,54689,366774,95648,25597,54363,0,0,71130,53819,1119,2193,0,0,0,0,0,25,1402,302534,43654,52935,943,720,35267,78242,12718,98003,79452
23242,164,231,847,403802,40124,42828,65325,98648,85305,99154,0,0,83522,21854,1443,3978,0,0,0,0,0,47,476,533035,16325,10923,572,373,66202,13809,92652,46673,25274
43723,228,444,34,424063,55628,8197,974744,73023,1914,82620,0,0,77450,15541,539,1471,0,0,0,0,0,18,901,273104,5292,9924,299,624,31275,223,72526,9860,76912
10180,239,1029,1098,432743,14006,34737,537387,98716,46279,85661,0,0,39622,68358,202,2772,0,0,0,0,0,12,375,992368,41406,24658,438,1375,54359,59022,43890,54003,7299
2138,254,1201,486,623539,57154,6525,569726,61292,96016,70923,0,0,75024,98890,943,1286,0,0,0,0,0,7,1128,933477,48079,26499,217,1280,16011,54822,40264,76662,28228
48236,4,582,708,376365,66670,26159,135939,11158,3702,74177,0,0,36312,46913,840,922,0,0,0,0,0,4,562,227385,3724,60618,248,956,28756,20993,40601,18330,2560
49514,84,1346,557,319862,55543,47182,451800,75397,89114,90689,0,0,85838,3556,334,1534,0,0,0,0,0,36,1399,505965,2307,22103,596,760,54288,70335,68091,19525,46640
38957,24,1498,89,165471,91015,57648,42085,21066,26268,33442,0,0,23325,70442,1456,3513,0,0,0,0,0,14,216,621646,51015,40846,270,426,44127,19466,40694,99889,54983
30833,8,178,824,141040,88106,14913,177909,62037,5427,71798,0,0,50852,8861,623,4230,0,0,0,0,0,30,880,112956,51380,29368,583,1384,40118,79876,77732,94781,94444
2011,101,149,634,125552,81118,42596,701475,70646,66397,18141,0,0,56883,83848,632,2423,0,0,0,0,0,10,736,28014,20510,2105,936,508,62192,19918,33117,56114,61373
4441,248,1378,1421,627489,85471,96241,119196,17564,89681,39735,0,0,15293,19139,1122,2357,0,0,0,0,0,13,279,734049,40408,27362,310,1243,10698,20785,46542,43098,52275
329,13,1011,217,773964,88527,44990,689696,37571,68755,72858,0,0,43248,17655,708,2386,0,0,0,0,0,47,376,798917,39333,65119,848,437,91020,72512,96701,64135,56569
64078,196,675,618,834548,64776,34552,931858,9049,48269,45773,0,0,8134,6223,307,3514,0,0,0,0,0,42,1101,243306,11699,59172,6,685,57761,25342,85873,74284,88245
196,203,870,844,990712,39050,48409,47587,6393,44395,12829,0,0,29186,97289,406,4930,0,0,0,0,0,16,1163,621896,41650,59195,59,330,42731,76504,16154,98219,93197
63336,108,920,898,125538,36751,78639,672010,24180,68578,89808,0,0,43311,61934,951,1957,0,0,0,0,0,19,133,478477,33715,14723,657,960,15657,66682,19715,99037,32828
42505,77,373,897,72966,51034,62912,665547,2690,55965,5568,0,0,54670,80363,983,969,0,0,0,0,0,41,373,613721,27118,6525,57,1000,42642,86810,21494,20112,35311
33796,204,1036,336,842883,25763,67913,515113,924,75118,40715,0,0,44746,12745,479,3936,0,0,0,0,0,13,251,115969,19911,31487,693,628,32776,19668,9512,53012,24880
39784,120,547,1471,358121,19314,82994,295783,61526,13090,97783,0,0,51514,91188,1149,4505,0,0,0,0,0,23,788,662550,11285,36395,632,588,46160,67144,71467,87563,80573
37769,55,969,1257,792384,56024,18921,771691,71762,66131,18907,0,0,32841,80378,152,3632,0,0,0,0,0,35,1040,376765,44609,46100,389,1053,3447,39379,60049,39481,552
37546,196,546,1460,370585,58409,38966,558766,51290,13545,88059,0,0,51224,73227,882,1826,0,0,0,0,0,28,86,105887,8095,3020,275,335,16002,4736,67435,7551,95826
50872,73,594,1309,740834,34876,58532,668596,8151,98467,90908,0,0,71443,26788,996,3651,0,0,0,0,0,4,156,778391,13482,55532,392,975,94372,55580,44099,32084,16037
31341,69,536,993,521903,74096,66280,850952,22127,14576,40344,0,0,57377,76430,613,3678,0,0,0,0,0,48,285,965046,34383,14925,701,880,68119,85341,65592,83085,2897
25337,68,653,1392,319697,76956,36693,220450,76268,16548,4089,0,0,1719,53625,1154,54,0,0,0,0,0,0,1444,486855,43355,19371,125,818,23022,31946,99769,34134,20243
31934,0,1215,1428,399178,68493,22525,38455,37703,37112,16785,0,0,49321,39184,735,4572,0,0,0,0,0,15,352,268558,54236,46118,95,1341,11131,76605,412,14696,24978
42798,29,136,339,441898,1077,49220,66579,40496,42774,54658,0,0,47100,50854,440,4012,0,0,0,0,0,6,1080,687463,27673,63420,41,1445,27295,85934,47760,88003,50973
40663,220,1156,688,965109,9587,1957,400295,53625,215,89713,0,0,54884,36129,1421,3875,0,0,0,0,0,40,204,619258,27960,53617,475,916,54240,33772,25432,9637,32413
51802,237,36,291,216761,20160,58371,233575,19070,48742,35242,0,0,18479,90183,1419,2532,0,0,0,0,0,23,799,391504,61718,22751,194,1144,81237,93524,47767,23766,70738
51840,194,655,13,187422,82696,17422,728776,42296,74537,4306,0,0,67140,57721,764,54,0,0,0,0,0,46,451,875195,8872,43321,115,364,82768,3636,82399,28311,85439
8283,214,772,97,592105,82324,16217,321146,65619,96201,31797,0,0,36605,37716,167,463,0,0,0,0,0,22,910,769,7956,9569,290,1028,57795,95512,69568,80071,72733
11302,88,931,1406,11227,22207,16386,733737,74717,48563,36313,0,0,97431,33008,120,2595,0,0,0,0,0,39,875,795173,16071,14985,829,539,66692,81511,307,78209,14606
19785,15,2,1451,252807,51024,95419,592383,86650,35106,10372,0,0,67362,70152,311,772,0,0,0,0,0,33,150,885617,20117,37132,259,257,54441,76689,24166,59602,54941
685,69,108,1302,827790,6233,90281,392445,25400,60165,5881,0,0,57833,37014,908,3358,0,0,0,0,0,20,122,259838,32456,82,960,1200,51555,32922,64744,55075,19410
24393,224,1226,778,308251,99568,21069,918987,56593,27344,73411,0,0,43661,87419,922,787,0,0,0,0,0,44,587,837314,58255,8491,656,834,48385,59092,77901,20524,85968
4078,132,1118,267,640186,33618,24869,366770,48772,58379,39693,0,0,90365,31491,138,4950,0,0,0,0,0,46,980,132091,18305,61563,21,1088,75445,72419,59711,97774,5530
33666,73,1270,1370,784989,51699,73994,592558,12552,64806,84267,0,0,92357,86166,847,4050,0,0,0,0,0,42,595,82801,62056,64448,683,915,3117,8185,92133,22337,68099
56838,179,766,1451,757100,56696,15279,546602,60269,6107,83201,0,0,95842,31606,1155,2710,0,0,0,0,0,11,499,716257,156,53654,741,753,96537,19839,23639,64694,6035
23448,64,343,981,671375,78848,28205,112288,74376,40919,9828,0,0,41126,97975,113,2593,0,0,0,0,0,45,135,735376,61381,9185,195,100,6546,60495,70005,62030,18667
10927,42,1377,5,262847,53170,54437,363066,215,46433,28422,0,0,50746,60094,1109,2972,0,0,0,0,0,19,804,716677,38723,17151,29,480,97872,30279,32613,92156,93239
54159,25,181,41,821549,76139,69085,458997,62793,22896,80806,0,0,50616,8739,1161,2675,0,0,0,0,0,16,169,377693,3348,1742,318,1348,39678,75564,52987,34074,99797
10866,12,1142,1209,738391,40812,82714,599094,29562,1898,8174,0,0,82418,79316,972,1667,0,0,0,0,0,6,452,420018,14270,717,588,449,92497,76932,57943,31890,18076
3069,248,169,340,472874,42016,35306,280871,86427,1951,50542,0,0,22031,80271,178,4479,0,0,0,0,0,5,1203,984313,7582,22345,7,1499,77757,13746,88443,17355,47096
29554,214,27,338,294073,28169,70861,411383,95031,41992,50451,0,0,89938,31617,935,2609,0,0,0,0,0,11,340,482919,19900,2797,286,495,91551,89346,49875,99260,21560
6784,183,772,60,650492,93453,11845,956985,76920,65996,65384,0,0,88729,73462,569,3603,0,0,0,0,0,39,976,283669,52101,50869,781,963,88511,57552,84732,33683,24830
5558,3,1316,1291,550462,62262,9923,773009,72951,20236,14999,0,0,35892,77609,757,1777,0,0,0,0,0,23,567,319392,41574,39575,241,192,73133,71777,31394,37468,98420
8359,194,157,1108,422702,16585,97499,519636,46090,97436,46181,0,0,89627,20416,174,1660,0,0,0,0,0,34,237,890474,65161,27707,749,520,24243,35171,40119,52856,5975
401,175,526,310,717431,57849,44308,439681,92729,34638,3925,0,0,18427,52785,1087,445,0,0,0,0,0,10,19,592381,53145,24678,15,246,84537,41360,1002,22782,75730
25010,47,1473,195,543681,37371,74941,991470,54867,41520,91014,0,0,81018,20232,1216,4863,0,0,0,0,0,1,270,806237,50149,39610,367,278,12053,83843,23504,23441,98965
19774,87,1117,451,814246,76863,22109,28034,82564,56941,74915,0,0,41502,70778,475,2912,0,0,0,0,0,4,1264,170398,26248,37991,161,600,19619,21742,61495,31106,25877
57650,22,87,601,296849,60464,28990,118553,45357,33405,30402,0,0,91741,93276,1049,1390,0,0,0,0,0,34,329,165166,41311,37540,174,430,209,49117,39213,65698,79647
10965,253,862,1107,238354,745,42260,836729,38897,41218,17954,0,0,89239,12879,201,4567,0,0,0,0,0,15,431,483262,30537,41892,289,1188,59669,69981,99095,78865,40286
33145,212,811,1189,710248,81813,54927,542577,56884,43019,55584,0,0,70088,93396,46,1529,0,0,0,0,0,31,775,968995,3295,63924,819,823,90012,44257,21046,53019,10334
7425,231,1037,42,815917,21716,81614,22374,46406,46962,75676,0,0,44151,46009,1482,398,0,0,0,0,0,7,1235,242364,64098,33917,12,338,2200,72220,73414,78064,71664
56727,218,441,64,539582,16865,75695,69012,97430,94465,16880,0,0,34683,26135,833,3834,0,0,0,0,0,47,1287,147554,6482,23007,50,1123,35493,59835,93017,62730,2673
23505,9,260,1117,831874,43759,90906,180625,85505,81041,408,0,0,55263,11888,1187,645,0,0,0,0,0,34,1412,584520,11590,42214,92,593,86641,37691,60990,63239,98055
47869,207,1017,532,344300,49048,64936,996693,6997,25519,89849,0,0,94879,57697,495,4016,0,0,0,0,0,9,785,550555,37907,48876,628,382,41638,71942,37269,67254,34181
57045,250,1037,642,103749,38217,17702,596628,32042,73039,41615,0,0,5047,37852,423,4961,0,0,0,0,0,40,313,843000,51465,45026,806,895,19713,93297,32923,24513,2456
37871,23,294,1119,926534,58416,37593,151417,15175,76224,35871,0,0,89213,37097,842,4918,0,0,0,0,0,32,356,904632,57923,663,874,121,88222,91474,55330,77601,87726
52809,66,605,204,413247,19443,25188,828764,19683,79738,51557,0,0,44569,25581,1292,2948,0,0,0,0,0,29,268,122535,28735,5776,966,1179,51225,21264,65512,16536,34532
43729,111,892,122,188005,63345,39120,513593,33221,56971,97216,0,0,1549,15280,842,4360,0,0,0,0,0,43,1057,715401,23973,44154,987,1252,29185,84433,38324,45849,72192
